 											SMMID	#N/A	#N/A										SMMID:	MF	MW	CAS	CN	Organism	Synonyms
(ACOX-1)																							 bhos#38	 C27H52O7	488.7	 1355682-91-5	" 3R-hydroxy-21-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-henicosanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhos#40	 C28H54O7	502.72	 tbd	" 3R-hydroxy-22-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-docosanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhos#42	 C29H56O7	516.75	 tbd	" 3R-hydroxy-22-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-tricosanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 ibha#10	 C24H33NO8	463.52	 1355683-20-3	 3R-hydroxy-8R-(3'R-hydroxy-5'R-O-(1H-indol-3-ylcarbonyl)-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-nonanoic acid	 <i>C. elegans</i>	 none
(ACOX-1)																							 ibha#16	 C25H35NO8	477.55	 1355683-39-4	 3R-hydroxy-9R-(3'R-hydroxy-5'R-O-(1H-indol-3-ylcarbonyl)-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-decanoic acid	 <i>C. elegans</i>	 none
(ACOX-1)																							 ibha#18	 C26H37NO8	491.57	 1355683-24-7	 3R-hydroxy-10R-(3'R-hydroxy-5'R-O-(1H-indol-3-ylcarbonyl)-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-undecanoic acid	 <i>C. elegans</i>	 none
(ACOX-1)																							 ibha#20	 C27H39NO8	505.6	 1355683-26-9	 3R-hydroxy-11R-(3'R-hydroxy-5'R-O-(1H-indol-3-ylcarbonyl)-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-dodecanoic acid	 <i>C. elegans</i>	 none
(ACOX-1)																							 ibha#22	 C28H41NO8	519.63	 1355683-28-1	 3R-hydroxy-12R-(3'R-hydroxy-5'R-O-(1H-indol-3-ylcarbonyl)-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-tridecanoic acid	 <i>C. elegans</i>	 none
(ACOX-1)																							 ibha#24	 C29H43NO8	533.65	 1355683-30-5	 3R-hydroxy-13R-(3'R-hydroxy-5'R-O-(1H-indol-3-ylcarbonyl)-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-tetradecanoic acid	 <i>C. elegans</i>	 none
(ACOX-1)																							 ibha#26	 C30H45NO8	547.68	 1355683-32-7	 3R-hydroxy-14R-(3'R-hydroxy-5'R-O-(1H-indol-3-ylcarbonyl)-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-pentadecanoic acid	 <i>C. elegans</i>	 none
(ACOX-1)																							 ibha#28	 C31H47NO8	561.71	 1355683-34-9	 3R-hydroxy-15R-(3'R-hydroxy-5'R-O-(1H-indol-3-ylcarbonyl)-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-hexadecanoic acid	 <i>C. elegans</i>	 none
